
2025/04/08 (09:10:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/09 (22:37:35) | ===> btop++ v.1.4.0
2025/04/09 (22:37:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/09 (22:37:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/14 (16:12:45) | ===> btop++ v.1.4.0
2025/04/14 (16:12:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/14 (16:12:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/15 (10:05:49) | ===> btop++ v.1.4.0
2025/04/15 (10:05:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/15 (10:05:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/15 (10:37:01) | ===> btop++ v.1.4.0
2025/04/15 (10:37:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/15 (10:37:01) | WARNING: ROCm SMI: Failed to get PCIe throughput
